business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
"
Birdseye Botanicals
","
CLTV0103
",Adult-Use,,193,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Birdseye Botanicals
",2023-04-25T08:24:42.203784,,,,,
"
Bordertown Apothecary
","
CLTV0097
",Adult-Use,,194,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Bordertown Apothecary
",2023-04-25T08:24:42.203784,,,,,
Vermontijuana,"
CLTV0106
",Adult-Use,,195,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermontijuana,2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,196,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
Maple Buckets LLC,"
CLTV0059
",Adult-Use,,197,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Maple Buckets LLC,2023-04-25T08:24:42.203784,,,,,
Boreas Ventures LLC,"
CLTV0064
",Adult-Use,,198,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Boreas Ventures LLC,2023-04-25T08:24:42.203784,,,,,
"
Jeezum Crow Bud Company LLC
","
CLTV0070
",Adult-Use,,199,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Jeezum Crow Bud Company LLC
",2023-04-25T08:24:42.203784,,,,,
"
Quintessential Botanicals LLC
","
CLTV0098
",Adult-Use,,200,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Quintessential Botanicals LLC
",2023-04-25T08:24:42.203784,,,,,
"
Great Hill Growers LLC
",CLT0233,Adult-Use,,201,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Great Hill Growers LLC
",2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,202,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
"
Uprising LLC
","
CLTV0053
",Adult-Use,,203,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Uprising LLC
",2023-04-25T08:24:42.203784,,,,,
"
Sunset Lake Cannabis, LLC
","
CLTV0069
",Adult-Use,,204,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Sunset Lake Cannabis, LLC
",2023-04-25T08:24:42.203784,,,,,
"
Lucky Leaf LLC
","
CLTV0071
",Adult-Use,,205,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Lucky Leaf LLC
",2023-04-25T08:24:42.203784,,,,,
"
Sweet Rhapsody LLC DBA Skunk Hollow Cannabis
","
CLTV0072
",Adult-Use,,206,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Sweet Rhapsody LLC DBA Skunk Hollow Cannabis
",2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,207,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
"
Green Mountain Ganja Guys LLC
","
CLTV0032
",Adult-Use,,208,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Green Mountain Ganja Guys LLC
",2023-04-25T08:24:42.203784,,,,,
"
Flower First, LLC
","
CLTV0061
",Adult-Use,,209,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Flower First, LLC
",2023-04-25T08:24:42.203784,,,,,
Mend Botanical,"
CLTV0065
",Adult-Use,,210,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Mend Botanical,2023-04-25T08:24:42.203784,,,,,
Green Mountain Kana,"
SCLT0008
",Adult-Use,,211,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Mountain Kana,2023-04-25T08:24:42.203784,,,,,
Snowbird Botanicals LLC,"
SCLT0064
",Adult-Use,,212,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Snowbird Botanicals LLC,2023-04-25T08:24:42.203784,,,,,
"DP Holdings LLC, Garcia Grows","
SCLT0010
",Adult-Use,,213,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"DP Holdings LLC, Garcia Grows",2023-04-25T08:24:42.203784,,,,,
DBA Geebee's Organics,"
SCLT0019
",Adult-Use,,214,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,DBA Geebee's Organics,2023-04-25T08:24:42.203784,,,,,
LB Farm LLC,"
SCLT0025
",Adult-Use,,215,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,LB Farm LLC,2023-04-25T08:24:42.203784,,,,,
Happy Valley Products,"
SCLT0147
",Adult-Use,,216,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Happy Valley Products,2023-04-25T08:24:42.203784,,,,,
Fort Dowd Growers Collective LLC,"
SCLT0071
",Adult-Use,,217,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Fort Dowd Growers Collective LLC,2023-04-25T08:24:42.203784,,,,,
Backcountry Botanicals LLC,"
SCLT0061
",Adult-Use,,218,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Backcountry Botanicals LLC,2023-04-25T08:24:42.203784,,,,,
Dirt Rich Farms LLC,"
SCLT0093
",Adult-Use,,219,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Dirt Rich Farms LLC,2023-04-25T08:24:42.203784,,,,,
1958 LLC,"
SCLT0054
",Adult-Use,,220,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,1958 LLC,2023-04-25T08:24:42.203784,,,,,
Midnight Farm,"
SCLT0112
",Adult-Use,,221,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Midnight Farm,2023-04-25T08:24:42.203784,,,,,
Tree Amigos,"
SCLT0205
",Adult-Use,,222,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Tree Amigos,2023-04-25T08:24:42.203784,,,,,
Maple Maestro LLC,"
SCLT0063
",Adult-Use,,223,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Maple Maestro LLC,2023-04-25T08:24:42.203784,,,,,
802 Glue LLC,"
SCLT0097
",Adult-Use,,224,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,802 Glue LLC,2023-04-25T08:24:42.203784,,,,,
Sky High Cannabis,"
SCLT0128
",Adult-Use,,225,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Sky High Cannabis,2023-04-25T08:24:42.203784,,,,,
Island Pond Cannabis Company,"
SCLT0077
",Adult-Use,,226,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Island Pond Cannabis Company,2023-04-25T08:24:42.203784,,,,,
Flavorline Cannabis Company LLC,"
SCLT0096
",Adult-Use,,227,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Flavorline Cannabis Company LLC,2023-04-25T08:24:42.203784,,,,,
"7 B's Farm, LLC","
SCLT0088
",Adult-Use,,228,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"7 B's Farm, LLC",2023-04-25T08:24:42.203784,,,,,
ZsGreenZ,"
SCLT0107
",Adult-Use,,229,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,ZsGreenZ,2023-04-25T08:24:42.203784,,,,,
Hidden Valley Farm,"
SCLT0089
",Adult-Use,,230,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Hidden Valley Farm,2023-04-25T08:24:42.203784,,,,,
"Dalen, LTD","
SCLT0105
",Adult-Use,,231,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Dalen, LTD",2023-04-25T08:24:42.203784,,,,,
Overton View Farm LLC,"
SCLT0173
",Adult-Use,,232,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Overton View Farm LLC,2023-04-25T08:24:42.203784,,,,,
"LagaMont Breeds, LLC","
SCLT0072
",Adult-Use,,233,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"LagaMont Breeds, LLC",2023-04-25T08:24:42.203784,,,,,
"Orleans Cannabis, LLC","
SCLT0078
",Adult-Use,,234,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Orleans Cannabis, LLC",2023-04-25T08:24:42.203784,,,,,
Honey Tree Farm LLC,"
SCLT0126
",Adult-Use,,235,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Honey Tree Farm LLC,2023-04-25T08:24:42.203784,,,,,
Way High Up There,"
SCLT0116
",Adult-Use,,236,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Way High Up There,2023-04-25T08:24:42.203784,,,,,
The Mad Botanist,"
SCLT0098
",Adult-Use,,237,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,The Mad Botanist,2023-04-25T08:24:42.203784,,,,,
Cavelion LLC,"
SCLT0073
",Adult-Use,,238,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cavelion LLC,2023-04-25T08:24:42.203784,,,,,
Green State of Mind,"
SCLT0085
",Adult-Use,,239,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green State of Mind,2023-04-25T08:24:42.203784,,,,,
Island Craft Cannabis,"
SCLT0180
",Adult-Use,,240,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Island Craft Cannabis,2023-04-25T08:24:42.203784,,,,,
Mythic Gardens,"
SCLT0087
",Adult-Use,,241,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Mythic Gardens,2023-04-25T08:24:42.203784,,,,,
Giving Tree Farm,"
SCLT0111
",Adult-Use,,242,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Giving Tree Farm,2023-04-25T08:24:42.203784,,,,,
"Vermont Kind Cultivation, LLC","
SCLT0186
",Adult-Use,,243,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Vermont Kind Cultivation, LLC",2023-04-25T08:24:42.203784,,,,,
Central Vermont Cannabis Ltc Co,"
SCLT0138
",Adult-Use,,244,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Central Vermont Cannabis Ltc Co,2023-04-25T08:24:42.203784,,,,,
Green Mountain Gardens,"
SCLT0110
",Adult-Use,,245,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Mountain Gardens,2023-04-25T08:24:42.203784,,,,,
Smugglers Notch Cannabis Company,"
SCLT0155
",Adult-Use,,246,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Smugglers Notch Cannabis Company,2023-04-25T08:24:42.203784,,,,,
Cannabis Dream Nursery LLC,"
SCLT0183
",Adult-Use,,247,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cannabis Dream Nursery LLC,2023-04-25T08:24:42.203784,,,,,
Northeast Kingdom Cannabis,"
SCLT0188
",Adult-Use,,248,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Northeast Kingdom Cannabis,2023-04-25T08:24:42.203784,,,,,
"Smoke Ranch LLC, dba Smoch Ranch dba Smoke Ranch Redemption","
SCLT0131
",Adult-Use,,249,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Smoke Ranch LLC, dba Smoch Ranch dba Smoke Ranch Redemption",2023-04-25T08:24:42.203784,,,,,
Boon Botanicals,"
SCLT0192
",Adult-Use,,250,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Boon Botanicals,2023-04-25T08:24:42.203784,,,,,
Little Garden LLC; Little Garden,"
SCLT0175
",Adult-Use,,251,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Little Garden LLC; Little Garden,2023-04-25T08:24:42.203784,,,,,
Legacy Vermont Cannabis,"
SCLT0141
",Adult-Use,,252,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Legacy Vermont Cannabis,2023-04-25T08:24:42.203784,,,,,
Green Heron Farm,"
SCLT0181
",Adult-Use,,253,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Heron Farm,2023-04-25T08:24:42.203784,,,,,
Tree Frog Farms LLC; Tree Frog Farms,"
SCLT0106
",Adult-Use,,254,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Tree Frog Farms LLC; Tree Frog Farms,2023-04-25T08:24:42.203784,,,,,
Vermont Vital Cultivars,"
SCLT0102
",Adult-Use,,255,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont Vital Cultivars,2023-04-25T08:24:42.203784,,,,,
Ammanana Growers LLC; Ammanana Growers,"
SCLT0172
",Adult-Use,,256,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Ammanana Growers LLC; Ammanana Growers,2023-04-25T08:24:42.203784,,,,,
Bubbling Brook Botanicals LLC; Bubbling Brook VT,"
SCLT0202
",Adult-Use,,257,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Bubbling Brook Botanicals LLC; Bubbling Brook VT,2023-04-25T08:24:42.203784,,,,,
"JPEAMES, LLC; DBA SUN DAY FARMS","
SCLT0127
",Adult-Use,,258,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"JPEAMES, LLC; DBA SUN DAY FARMS",2023-04-25T08:24:42.203784,,,,,
Trichome Ranch LLC,"
SCLT0184
",Adult-Use,,259,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Trichome Ranch LLC,2023-04-25T08:24:42.203784,,,,,
Green Valley Cannabis LLC,"
SCLT0156
",Adult-Use,,260,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Valley Cannabis LLC,2023-04-25T08:24:42.203784,,,,,
"GMT Genetix LLC, DBA Fierce Cultivation","
SCLT0163
",Adult-Use,,261,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"GMT Genetix LLC, DBA Fierce Cultivation",2023-04-25T08:24:42.203784,,,,,
Lamoille Valley Extraction Solutions LLC DBA Zen Valley Cannabis,"
SCLT0176
",Adult-Use,,262,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Lamoille Valley Extraction Solutions LLC DBA Zen Valley Cannabis,2023-04-25T08:24:42.203784,,,,,
Mad Hatter Cannabis and Hemp LLC,"
SCLT0170
",Adult-Use,,263,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Mad Hatter Cannabis and Hemp LLC,2023-04-25T08:24:42.203784,,,,,
Sugarleaf LLC,"
SCLT0124
",Adult-Use,,264,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Sugarleaf LLC,2023-04-25T08:24:42.203784,,,,,
DRADIS,"
SCLT0204
",Adult-Use,,265,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,DRADIS,2023-04-25T08:24:42.203784,,,,,
Vermont Medicine Man Botanicals,"
SCLT0195
",Adult-Use,,266,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont Medicine Man Botanicals,2023-04-25T08:24:42.203784,,,,,
T.K. House of Green,"
SCLT0196
",Adult-Use,,267,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,T.K. House of Green,2023-04-25T08:24:42.203784,,,,,
Fat Cat Farm LLC,"
SCLT0198
",Adult-Use,,268,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Fat Cat Farm LLC,2023-04-25T08:24:42.203784,,,,,
Canna Cultivators Collective,"
SCLT0220
",Adult-Use,,269,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Canna Cultivators Collective,2023-04-25T08:24:42.203784,,,,,
Alive Cannabis Company LLC,"
SCLT0212
",Adult-Use,,270,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Alive Cannabis Company LLC,2023-04-25T08:24:42.203784,,,,,
EDWARD-HASH-HANDS LLC,"
SCLT0223
",Adult-Use,,271,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,EDWARD-HASH-HANDS LLC,2023-04-25T08:24:42.203784,,,,,
"
Vermont Cultivars, LLC
",SCLT0227,Adult-Use,,272,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Vermont Cultivars, LLC
",2023-04-25T08:24:42.203784,,,,,
"
The Empress 802 LLC DBA Green Goddess Goodies
",SCLT0230,Adult-Use,,273,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
The Empress 802 LLC DBA Green Goddess Goodies
",2023-04-25T08:24:42.203784,,,,,
Kind Green Insight LLC / Swift Hawk Canna,"
SCLT0229
",Adult-Use,,274,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Kind Green Insight LLC / Swift Hawk Canna,2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,275,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
"
Holland Cannabis LLC
","
CLTV0057
",Adult-Use,,276,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Holland Cannabis LLC
",2023-04-25T08:24:42.203784,,,,,
"
Faustini Farms
","
CLTV0079
",Adult-Use,,277,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Faustini Farms
",2023-04-25T08:24:42.203784,,,,,
"
Stone Leaf Grow LLC
","
CLTV0062
",Adult-Use,,278,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Stone Leaf Grow LLC
",2023-04-25T08:24:42.203784,,,,,
"
Mount Gay Farms LLC
","
CLTV0082
",Adult-Use,,279,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Mount Gay Farms LLC
",2023-04-25T08:24:42.203784,,,,,
"
Horticultural Professionals
","
CLTV0100
",Adult-Use,,280,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Horticultural Professionals
",2023-04-25T08:24:42.203784,,,,,
"
First Branch Cannabis
","
CLTV0094
",Adult-Use,,281,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
First Branch Cannabis
",2023-04-25T08:24:42.203784,,,,,
"
YBNRML LLC
","
CLTV0080
",Adult-Use,,282,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
YBNRML LLC
",2023-04-25T08:24:42.203784,,,,,
"
Vermont Select, LLC
","
CLTV0081
",Adult-Use,,283,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Vermont Select, LLC
",2023-04-25T08:24:42.203784,,,,,
"
Clovis LLC
","
CLTV0099
",Adult-Use,,284,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Clovis LLC
",2023-04-25T08:24:42.203784,,,,,
"
Four Clover Corp
","
CLTV0092
",Adult-Use,,285,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Four Clover Corp
",2023-04-25T08:24:42.203784,,,,,
"
Burrington Hill Co., LLC
",CLTV0107,Adult-Use,,286,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Burrington Hill Co., LLC
",2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,287,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
"
Family Tree, LLC; Family Tree Hemp Company
","
CLTV0014
",Adult-Use,,288,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Family Tree, LLC; Family Tree Hemp Company
",2023-04-25T08:24:42.203784,,,,,
"
Farmers Underground
","
CLTV0076
",Adult-Use,,289,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Farmers Underground
",2023-04-25T08:24:42.203784,,,,,
"
Wolf Creek Farm LLC
","
CLTV0088
",Adult-Use,,290,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Wolf Creek Farm LLC
",2023-04-25T08:24:42.203784,,,,,
"
Trombly House of Cannabis LLC
",CLTV0108,Adult-Use,,291,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Trombly House of Cannabis LLC
",2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,292,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
"
Full Circle Farm, LLC
","
CLTV0051
",Adult-Use,,293,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Full Circle Farm, LLC
",2023-04-25T08:24:42.203784,,,,,
,,Adult-Use,,294,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,,2023-04-25T08:24:42.203784,,,,,
"
Rebel East VT LLC
","
CLTV0049
",Adult-Use,,295,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Rebel East VT LLC
",2023-04-25T08:24:42.203784,,,,,
Bia Diagnostics,"
TLAB0029
",Adult-Use,Colchester,296,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Bia Diagnostics,2023-04-25T08:24:42.203784,44.5075536,-73.176019,Chittenden County,480 Hercules Dr #101,05446
"Endyne, Inc","
TLAB0028
",Adult-Use,Williston,297,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Endyne, Inc",2023-04-25T08:24:42.203784,44.4757525,-73.1166265,Chittenden County,160 James Brown Dr # F,05495
Steep Hill Vermont Labs,"
TLAB0030
",Adult-Use,Colchester,298,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Steep Hill Vermont Labs,2023-04-25T08:24:42.203784,44.5086939,-73.1863391,Chittenden County,261 Mountain View Dr,05446
"Champlain Valley Dispensary, Inc, CeresMED, Ceres",Integrated,Adult-Use,,299,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Champlain Valley Dispensary, Inc, CeresMED, Ceres",2023-04-25T08:24:42.203784,,,,,
Vermont Patients Alliance,Integrated,Adult-Use,,300,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont Patients Alliance,2023-04-25T08:24:42.203784,,,,,
Mountain Girl Cannabis,"
RTLR0001
",Adult-Use,"Rutland, UK",301,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Mountain Girl Cannabis,2023-04-25T08:24:42.203784,52.6583014,-0.639643,Rutland,"Rutland, UK","Rutland, UK"
FLŌRA Cannabis,"
RTLR0002
",Adult-Use,VT 05753,302,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,FLŌRA Cannabis,2023-04-25T08:24:42.203784,44.0153371,-73.16734,Addison County,Middlebury,USA
Vermont Bud Barn,"
RTLR0003
",Adult-Use,VT 05301,303,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont Bud Barn,2023-04-25T08:24:42.203784,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"
Apex Arboretum Inc. dba Green State Dispensary
","
RTLR0004
",Adult-Use,,304,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"
Apex Arboretum Inc. dba Green State Dispensary
",2023-04-25T08:24:42.203784,,,,,
Gram Central LLC,"
RTLR0007
",Adult-Use,"Montpellier, France",305,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Gram Central LLC,2023-04-25T08:24:42.203784,43.610769,3.876716,Hérault,"Montpellier, France","Montpellier, France"
9th State Cannabis,"
RTLR0006
",Adult-Use,VT,306,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,9th State Cannabis,2023-04-25T08:24:42.203784,44.2056098,-73.2462341,Addison County,Ferrisburgh,USA
