business_dba_name,premise_street_address,premise_city,premise_state,premise_zip_code,premise_county,business_phone,license_type,business_website,premise_longitude,premise_latitude,business_legal_name,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,id,license_number,license_status,data_refreshed_date
1634 Funk,394 Communipaw Avenue,Jersey City,NJ,07304,Hudson,(201) 862-8877,Recreational cannabis only,https://strictlycbdjc.com/,-74.064125984,40.712913997,1634 Funk,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
A21 Wellness,2507 Us Highway 22,Scotch Plains,NJ,07076,Union,,Recreational cannabis only,https://a21dispensary.com/,-74.38859197,40.664628996,A21 Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Anja,225 Woodbridge Avenue,Highland Park,NJ,08904,Middlesex,(732) 995-9390,Recreational cannabis only,https://www.getanja.com/,-74.411413965,40.501386989,Anja,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Apothecarium Dispensary,55 South Main St.,Phillipsburg,NJ,08865,Warren,(908) 777-7420,Medicinal and Recreational,https://apothecariumnj.com/phillipsburg/,-75.201758032,40.690828981,Apothecarium Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Apothecarium Dispensary,1865 Springfield Avenue,Maplewood,NJ,07040,Essex,(973) 996-1420,Medicinal and Recreational,https://apothecariumnj.com/maplewood/,-74.269286642,40.72072861,Apothecarium Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Apothecarium Dispensary,200 Nj-17,Lodi,NJ,07644,Bergen,(862) 910-2420,Medicinal and Recreational,https://apothecariumnj.com/lodi/,-74.067241035,40.882779006,Apothecarium Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Ascend,174 Route 17 North,Rochelle Park,NJ,07662,Bergen,(973) 500-6825,Medicinal and Recreational,http://letsascend.com,-74.071173991,40.903653005,Ascend,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Ascend,461-469 West State Street,Fort Lee,NJ,07024,Bergen,(973) 200-7696,Medicinal and Recreational,http://letsascend.com,-73.97250801,40.859734011,Ascend,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Ascend,395 Bloomfield Ave,Montclair,NJ,07042,Essex,(973) 337-5670,Medicinal and Recreational,http://letsascend.com,-74.215952909,40.812709321,Ascend,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Aunt Mary's Dispensary, LLC",100 Reaville Ave. Suite 211,Flemington,NJ,08822,Hunterdon,(908) 257-0421,Medicinal and Recreational,http://www.auntmarysnj.co/,-74.850988963,40.499399011,"Aunt Mary's Dispensary, LLC",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Ayr Wellness,950 Us Highway 1 North,Woodbridge,NJ,07095,Middlesex,(848) 999-2005,Medicinal and Recreational,https://gardenstatedispensary.com/locations/woodbridge/,-74.294910037,40.567942988,Ayr Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Ayr Wellness,59 Main St,Eatontown,NJ,07724,Monmouth,(848) 999-2005,Medicinal and Recreational,https://gardenstatedispensary.com/locations/eatontown/,-74.060837009,40.306158005,Ayr Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Ayr Wellness,2536 Rt 22,Union,NJ,07083,Union,(848) 999-2005,Medicinal and Recreational,https://gardenstatedispensary.com/locations/union/,-74.301235021,40.688860994,Ayr Wellness,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Baked by the River,8 Church Street,Lambertville,NJ,08530,Hunterdon,(609) 669-0501,Recreational cannabis only,http://www.bakedbytheriver.com/,-74.944739963,40.366959996,Baked by the River,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
BLOC,1075 Easton Ave,Somerset,NJ,08873,Somerset,(973) 494-8499,Medicinal and Recreational,https://www.blocdispensary.com/,-74.488150037,40.516698002,BLOC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
BLOC,501 Us-9,Waretown,NJ,08758,Ocean,(973) 494-8550,Medicinal and Recreational,https://www.blocdispensary.com/,-74.196918631,39.796510936,BLOC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
BLOC,1761 North Olden Avenue,Ewing,NJ,08638,Mercer,(973) 494-8499,Medicinal and Recreational,https://www.blocdispensary.com/,-74.770759984,40.248055994,BLOC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Botanist, The",100 Century Drive,Egg Harbor Township,NJ,08234,Atlantic,(609) 277-7547,Medicinal and Recreational,https://www.shopbotanist.com/locations/egg-harbor-township/,-74.553988965,39.419496986,"Botanist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Botanist, The",2090 N Blackhorse Pike,Williamstown,NJ,08094,Camden,(856) 478-3530,Medicinal and Recreational,https://www.shopbotanist.com/locations/williamstown/,-75.021994037,39.719486013,"Botanist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Brute's Roots,6206 Black Horse Pike,Egg Harbor Township,NJ,08234,Atlantic,(609) 867-6112,Medicinal and Recreational,https://brutesroots.com/,-74.602429995,39.430488008,Brute's Roots,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Camden Apothecary,1205 Haddon Avenue,Camden,NJ,08103,Camden,(856) 931-6310,Recreational cannabis only,https://camdenapothecary.com/,-75.102728026,39.931881009,Camden Apothecary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Cannabis Clubhouse,70-72 E Main Street,Sussex,NJ,07461,Sussex,(862) 351-6021,Recreational cannabis only,https://www.cannabisclubhousenj.com/,-74.602616995,41.211354011,Cannabis Clubhouse,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Cannabis Place, The",1544 John F. Kennedy Boulevard,Jersey City,NJ,07305,Hudson,(844) 420-1542,Recreational cannabis only,https://thecannabisplace.org/,-74.099756029,40.694486006,"Cannabis Place, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Cannabist, The",1062 North Delsea Drive,Vineland,NJ,08360,Cumberland,(856) 213-9445,Medicinal and Recreational,https://col-care.com/location/vineland/,-75.042358039,39.502727985,"Cannabist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Cannabist, The",1692 Clements Bridge Rd,Deptford,NJ,08096,Gloucester,(856) 322-2829,Medicinal and Recreational,https://gocannabist.com/location/deptford/,-75.102324018,39.83356799,"Cannabist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Cloud Nine Dispensary,513-27 Route 22,North Plainfield,NJ,07060,Somerset,(551) 222-6031,Recreational cannabis only,https://www.c9dispensarynj.com/,-74.432185997,40.631040992,Cloud Nine Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Cookies Harrison,331 Angelo Cifelli Drive,Harrison,NJ,07029,Hudson,(973) 266-5437,Recreational cannabis only,https://cookies.co/stores/cookies_harrison,-74.15713586,40.740722374,Cookies Harrison,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Curaleaf,191 Rte 130,Bordentown,NJ,08505,Burlington,(609) 400-2455,Medicinal and Recreational,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bordentown?,-74.69962998,40.148561001,Curaleaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Curaleaf,640 Creek Road,Bellmawr,NJ,08031,Camden,(856) 933-8700,Medicinal and Recreational,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bellmawr?,-75.103095991,39.865061985,Curaleaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Curaleaf,4237 Us-130 South,Edgewater Park,NJ,08010,Burlington,(609) 232-7681,Medicinal and Recreational,https://curaleaf.com/shop/new-jersey/curaleaf-nj-edgewater-park?,-74.912763014,40.040723958,Curaleaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,07882,Warren,(908) 450-9900,Recreational cannabis only,https://dankpoet.com/,-74.97037702,40.760086007,Dank Poet Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Daylite Cannabis,1136 Route 73,Mount Laurel,NJ,08054,Burlington,,Recreational cannabis only,http://daylitecannabis.com/,-74.952469,39.925340987,Daylite Cannabis,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Design 710,112 Park Place,Atlantic City,NJ,08401,Atlantic,(609) 964-7420,Medicinal and Recreational,https://design710.com/,-74.432816987,39.357851986,Design 710,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
downtown FLWR,141 Newark Avenue,Jersey City,NJ,07302,Hudson,(202) 351-4048,Medicinal and Recreational,https://downtownflwr.com/,-74.044011009,40.720199002,downtown FLWR,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Earth & Ivy,355 George Street,New Brunswick,NJ,08901,Middlesex,(732) 317-2992,Recreational cannabis only,http://earthandivy.co/,-74.443542973,40.494784983,Earth & Ivy,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Eastern Green,78 Route 73,Voorhees,NJ,08043,Camden,(856) 205-3257,Medicinal and Recreational,https://easterngreendispensary.com/,-74.927727969,39.82257898,Eastern Green,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Elevated by TheCannaBossLady,9 Highland Place,Maplewood,NJ,07040,Essex,(917) 416-5455,Recreational cannabis only,http://thecannabosslady.com/,-74.278548981,40.731248991,Elevated by TheCannaBossLady,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Elevated Herb,1846 Route 23,West Milford,NJ,07480,Passaic,(973) 291-6840,Recreational cannabis only,https://elevated-herb.com/,-74.382405036,41.014927002,Elevated Herb,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Evolve Cannabis,186 Us-130,Bordentown,NJ,08505,Burlington,(609) 400-5590,Recreational cannabis only,https://www.evolvcannabis.com/,-74.699500268,40.152784113,Evolve Cannabis,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Fire and Oak,5 Washington Street,Mount Holly,NJ,08060,Burlington,(609) 901-0698,Recreational cannabis only,https://www.faomtholly.com/,-74.788521991,39.993082983,Fire and Oak,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Garden Greenz,190 Newark Avenue,Jersey City,NJ,07302,Hudson,(201) 963-4500,Recreational cannabis only,https://gardengreenz201.com/,-74.045822003,40.72166001,Garden Greenz,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Garden State Botanicals,1345 Us-1,North Brunswick,NJ,08902,Middlesex,(201) 574-8060,Medicinal and Recreational,https://dutchie.com/stores/garden-state-botanicals,-74.473932988,40.458371984,Garden State Botanicals,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Garfield Gardens Dispensary,517 River Drive,Garfield,NJ,07026,Bergen,(973) 755-5420,Medicinal and Recreational,https://yumaway.com/locations/revergardens,-74.114841024,40.875655017,Garfield Gardens Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
