business_dba_name,premise_street_address,premise_city,premise_state,premise_zip_code,premise_county,business_phone,license_type,business_website,premise_longitude,premise_latitude,business_legal_name,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,id,license_number,license_status,data_refreshed_date
Hackettstown Dispensary,321 Mountain Avenue,Hackettstown,NJ,07840,Warren,(908) 651-5542,Recreational cannabis only,https://www.hackettstowndispensarynj.com/,-74.823016584,40.835389192,Hackettstown Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Hashery,409 Nj-17,Hackensack,NJ,07601,Bergen,(201) 606-0002,Recreational cannabis only,https://hasherynj.com/,-74.065785382,40.880287148,Hashery,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Hello High,7685 Black Horse Pike,Hammonton,NJ,08037,Atlantic,(609) 567-4444,Recreational cannabis only,http://www.hellohigh.com/,-74.817984968,39.565701014,Hello High,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
High Street Dispensary,811 High Street,Hackettstown,NJ,07840,Warren,(833) 865-5924,Recreational cannabis only,https://www.njhighstreet.com/,-74.827345039,40.864309986,High Street Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Highway 90,90 Old Marlton Pike West,Evesham,NJ,08053,Burlington,(856) 607-3473,Recreational cannabis only,http://www.thehighway90.com/,-74.927537029,39.892556011,Highway 90,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Holistic Solutions LLC,451 White Horse Pike,Atco,NJ,08004,Camden,(856) 270-7067,Medicinal and Recreational,https://myholisticsolutions.com/,-74.890881961,39.764358993,Holistic Solutions LLC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Indigo,302 Crescent Boulevard,Brooklawn,NJ,08030,Camden,(609) 920-1818,Recreational cannabis only,https://www.indigodispensary.com/,-75.121165027,39.875550009,Indigo,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Jersey Roots,1433 Union Valley Rd,West Milford,NJ,07480,Passaic,(973) 506-4853,Recreational cannabis only,http://jerseyrootsdispensary.com,-74.373248981,41.127860994,Jersey Roots,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Joy Leaf,711 East 1St Avenue,Roselle,NJ,07203,Union,(908) 287-5414,Recreational cannabis only,https://www.joyleaf.com/?utm_source=gmb&utm_campaign=dispenza,-74.246091989,40.662965984,Joy Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Kind Kush,279 Us-46,Rockaway,NJ,07866,Morris,(973) 586-9333,Recreational cannabis only,https://kindkushdispensary.com/,-74.520462022,40.892892988,Kind Kush,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Leaf Haus,"900 Easton Avenue, Suite 18",Somerset,NJ,08873,Somerset,(908) 908-9333,Recreational cannabis only,https://leafhaus.com/,-74.485443018,40.510419999,Leaf Haus,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Leaf Joint, The ","391 Central Ave, Ground Floor",Jersey City,NJ,07307,Hudson,(201) 630-4356,Recreational cannabis only,https://www.theleafjoint.net/,-74.048212019,40.748262997,"Leaf Joint, The ",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Lemon 22,2006 Route 22,Scotch Plains,NJ,07076,Union,(908) 490-0039,Recreational cannabis only,https://www.chillinoutsmokeshop.com/,-74.39964703,40.656924015,Lemon 22,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Mass Grown,"34 Mill St, Suite A-B",Mount Holly,NJ,08060,Burlington,609-518-9333,Recreational cannabis only,http://massgrownnj.com,-74.786733964,39.992865012,Mass Grown,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Med Leaf,201 Philadelphia Avenue,Egg Harbor City,NJ,08215,Atlantic,(609) 616-0420,Recreational cannabis only,https://www.medleafdispensary.com/,-74.646217979,39.530410017,Med Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Molly Ann Farms,256 Belmont Avenue,Haledon,NJ,07508,Passaic,(973) 315-4900,Recreational cannabis only,https://www.mollyannfarms.com/,-74.183797063,40.931568337,Molly Ann Farms,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Mountain View Farmacy,74 Oak Ridge Road,West Milford,NJ,07438,Passaic,(973) 319-6420,Recreational cannabis only,http://www.mvf.earth/,-74.463676975,41.051790989,Mountain View Farmacy,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
MPX NJ,153 S. New York Avenue,Atlantic City,NJ,08401,Atlantic,(609) 616-7770,Medicinal and Recreational,http://mpxnj.com,-74.427457012,39.359126999,MPX NJ,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
MPX NJ,5035 Central Hwy,Pennsauken,NJ,08109,Camden,(848) 206-5060,Medicinal and Recreational,https://mpxnj.com/,-75.072371035,39.92994701,MPX NJ,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
MPX NJ,581 Berlin-Cross Keys Road,Sicklerville,NJ,08081,Gloucester,(848) 292-2764,Medicinal and Recreational,https://mpxnj.com/gloucester-township/,-75.001665731,39.73838802,MPX NJ,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
New Era Dispensary,80-88 Main Street,South Bound Brook,NJ,08880,Somerset,(732) 709-9842,Recreational cannabis only,https://neweradispensary.com/,-74.525302991,40.553956987,New Era Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Nightjar,549 Bloomfield Avenue,Bloomfield,NJ,07003,Essex,(973) 707-2915,Recreational cannabis only,http://www.nightjarcannabis.com,-74.196968001,40.79278599,Nightjar,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
NJ Leaf,546 Park Avenue,Freehold,NJ,07728,Monmouth,(732) 204-7172,Medicinal and Recreational,https://njleaf.com/,-74.271887967,40.249621021,NJ Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Noire Dispensary,171 Maplewood Ave,Maplewood,NJ,07040,Essex,(973) 922-1622,Recreational cannabis only,https://zebulon51.com/shop/,-74.278308001,40.730877002,Noire Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Nova Farms,642 Mantua Avenue,Woodbury,NJ,08096,Gloucester,(856) 202-7273,Recreational cannabis only,http://www.novafarms.com/,-75.159249965,39.826282021,Nova Farms,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Organic Farms,2895 Mount Ephraim Avenue,Camden,NJ,08104,Camden,(856) 407-7100,Recreational cannabis only,https://www.organicfarms21.com/,-75.097386774,39.90773415,Organic Farms,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Phasal,1100 N Black Horse Pike,Runnemede,NJ,08078,Camden,(856) 540-9333,Recreational cannabis only,https://phasaldispensary.com/,-75.075973996,39.85877099,Phasal,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Phula,60-62 High Street,Mount Holly,NJ,08060,Burlington,(609) 667-7343,Recreational cannabis only,https://www.mthollydispensary.com/_test/,-74.788208005,39.994630995,Phula,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Puffin Store,382 George Street,New Brunswick,NJ,08901,Middlesex,(732) 378-3346,Recreational cannabis only,https://puffinstorenj.com/,-74.444332968,40.495818011,Puffin Store,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Pure Blossom,2554 Pennington Road,Pennington,NJ,08534,Mercer,(609) 928-3644,Recreational cannabis only,https://www.pureblossom.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,-74.784957,40.307174018,Pure Blossom,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Queen City Remedies,1353 South Ave,Plainfield,NJ,07062,Union,(908) 941-7909,Recreational cannabis only,https://queencitynj.com/,-74.396089348,40.633101028,Queen City Remedies,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
RIPT,220 Broadway,Jersey City,NJ,07306,Hudson,(201) 267-0701,Medicinal and Recreational,http://www.riptdispensary.com,-74.077549015,40.738163013,RIPT,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
RISE,196 3Rd Avenue #3-C,Paterson,NJ,07514,Passaic,(973) 440-2717,Medicinal and Recreational,https://risecannabis.com/dispensaries/new-jersey/paterson/,-74.141849025,40.936161001,RISE,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
RISE,26-48 Bloomfield Ave,Bloomfield,NJ,07003,Essex,(973) 327-3442,Medicinal and Recreational,https://risecannabis.com/dispensaries/new-jersey/bloomfield/,-74.187037039,40.775351003,RISE,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Royal M,102A E Front St,Plainfield,NJ,07060,Union,(908) 444-8076,Recreational cannabis only,https://royalmcannabis.com/,-74.423804499,40.618602861,Royal M,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Shore House Canna,124 Sunset Blvd,West Cape May,NJ,08204,Cape May,(609) 600-3452,Recreational cannabis only,https://shorehousecanna.com/,-74.932438012,38.935381979,Shore House Canna,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
"Social Leaf, The ",334 Atlantic City Boulevard,South Toms River,NJ,08757,Ocean,(732) 358-6800,Recreational cannabis only,https://thesocialleaf.com/,-74.194283301,39.944184238,"Social Leaf, The ",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Soulflora,"2713 Nj Route 23, Suite 5A",Newfoundland,NJ,07435,Passaic,(973) 409-4319,Recreational cannabis only,https://www.soulflora.com/,-74.440784992,41.046669018,Soulflora,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Sweet Spot,"903 White Horse Road, Suite 2",Voorhees,NJ,08043,Camden,(856) 882-3481,Medicinal and Recreational,https://sweetspotfarms.com/store/nj001,-74.98929524,39.847493958,Sweet Spot,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Union Chill,"204 N Union St, #108",Lambertville,NJ,08530,Hunterdon,(609) 483-2350,Recreational cannabis only,https://unionchillco.com/,-74.94738898,40.374054983,Union Chill,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Unity Rd. Cannabis Shop,"441 Elizabeth Ave, Suite 11",Somerset,NJ,08873,Somerset,(732) 412-7210,Recreational cannabis only,https://www.unityrd.com/locations/nj/franklin-somerset/441-elizabeth-ave,-74.539236983,40.529236994,Unity Rd. Cannabis Shop,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
URB’N Dispensary,378 South St,Newark,NJ,07105,Essex,(973) 200-0618,Medicinal and Recreational,https://urbndispensary.com/home,-74.161697959,40.719005,URB’N Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Valley Wellness LLC,407 Us-202,Raritan,NJ,08869,Somerset,(908)429-6680,Medicinal and Recreational,https://valleywellnessnj.com/,-74.635244458,40.57404381,Valley Wellness LLC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Voltaire NJ,47 Mill Street,Mount Holly,NJ,08060,Burlington,(609) 702-5520,Recreational cannabis only,http://shopvoltaire.com/,-74.786113033,39.993477017,Voltaire NJ,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Zen Leaf,3256 Brunswick Pike,Lawrence Twp.,NJ,08648,Mercer,(609) 212-4351,Medicinal and Recreational,https://zenleafdispensaries.com/locations/lawrence/,-74.687460523,40.290410036,Zen Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Zen Leaf,117 Spring Street,Elizabeth,NJ,07201,Union,(908) 676-5936,Medicinal and Recreational,https://zenleafdispensaries.com/locations/elizabeth/,-74.205789032,40.663052989,Zen Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
Zen Leaf,2100 Route 66,Neptune,NJ,07753,Monmouth,(732) 860-1492,Medicinal and Recreational,https://zenleafdispensaries.com/locations/neptune/,-74.040634024,40.226129983,Zen Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2024-02-12T23:24:47.998465
